ID,LAT,LON,SPEED,ACTIVITY
0,59.88133977,10.82836321,1.78637186303,Walking
1,59.88129574,10.82834306,1.93121287673,Walking
2,59.88128131,10.82825661,1.81855871232,Walking
3,59.88124394,10.82819587,2.17261443837,Walking
4,59.88120358,10.82816325,1.46450308221,Stationary
5,59.88117297,10.82812002,1.62543742465,Walking
6,59.88113545,10.82808255,2.65541756163,Walking
7,59.88111234,10.82800586,1.62543742465,Walking
8,59.88108145,10.82795048,2.01168,Walking
9,59.88105874,10.82786905,1.35184891779,Stationary
10,59.88101865,10.82784097,2.0760536986,Walking
11,59.88097489,10.82779709,2.05996027396,Walking
12,59.88095724,10.82771801,2.84853884931,Walking
13,59.88091968,10.82766278,2.3496423014,Walking
14,59.88088357,10.82762899,1.06216708221,Stationary
15,59.88085914,10.82756919,2.09214712327,Walking
16,59.88085257,10.82748325,2.09214712327,Walking
17,59.88083729,10.82740561,2.30136183559,Walking
18,59.88083522,10.82732693,2.01168,Walking
19,59.88080597,10.82728302,2.20480128768,Walking
20,59.8807941,10.82719558,1.75418501372,Walking
21,59.88078022,10.82711691,1.04607356163,Stationary
22,59.88074955,10.82707139,2.62323071232,Walking
23,59.88073861,10.82697535,2.12433416441,Walking
24,59.88072308,10.82690539,2.04386684931,Walking
25,59.8807004,10.82684705,2.49448312327,Walking
26,59.88068186,10.82675174,2.86463227396,Walking
27,59.88065808,10.82668164,2.26917498628,Walking
28,59.88065192,10.82659685,1.72199816441,Walking
29,59.88063302,10.82652525,1.36794243837,Stationary
30,59.8806226,10.82645664,1.89902583559,Walking
31,59.88059713,10.82637892,1.81855871232,Walking
32,59.88056381,10.82632246,2.02777342465,Walking
33,59.88054404,10.82616618,1.44840956163,Stationary
34,59.88052423,10.82610565,2.15652101372,Walking
35,59.88052322,10.82602178,2.02777342465,Walking
36,59.88050862,10.82594981,2.60713728768,Walking
37,59.88054958,10.82623738,1.78637186303,Walking
38,59.88049332,10.82585644,2.36573572604,Walking
39,59.88045982,10.82579854,1.5771571507,Walking
40,59.8804189,10.82576664,1.46450308221,Stationary
41,59.88041523,10.82569482,1.81855871232,Walking
42,59.88040907,10.82559822,1.65762427396,Walking
43,59.88036571,10.82556065,2.70369783559,Walking
44,59.8803258,10.82556877,2.20480128768,Walking
45,59.88028146,10.82556576,1.97949315069,Walking
46,59.88024627,10.82563374,4.24866832882,Walking
47,59.88021308,10.82567434,2.63932413697,Walking
48,59.88017548,10.82574988,2.39792257535,Walking
49,59.88013393,10.82574823,1.85074556163,Walking
50,59.88010813,10.82583354,2.62323071232,Walking
51,59.88005861,10.82583737,1.93121287673,Walking
52,59.88000436,10.8258431,2.36573572604,Walking
53,59.87996525,10.82582266,2.7519783014,Walking
54,59.87993907,10.82577037,1.5771571507,Walking
55,59.87992566,10.82568866,1.85074556163,Walking
56,59.87991281,10.82559612,2.09214712327,Walking
57,59.87988856,10.82550827,1.70590454791,Walking
58,59.87986689,10.82544464,1.96339972604,Walking
59,59.87984366,10.8253751,2.26917498628,Walking
60,59.87982847,10.82530465,1.80246528768,Walking
61,59.87981083,10.82522092,2.14042758907,Walking
62,59.87979496,10.82515183,2.26917498628,Walking
63,59.87976473,10.82509949,1.88293241093,Walking
64,59.87975919,10.8250246,1.93121287673,Walking
65,59.87972803,10.82496243,1.56106372604,Walking
66,59.8796839,10.82479729,9.78481139722,Walking
67,59.87963985,10.82462085,11.7643045479,Driving
68,59.87958451,10.82440252,17.2038866847,Driving
69,59.87954838,10.82420099,18.0407463013,Driving
70,59.87949945,10.82400562,17.7188778084,Driving
71,59.87945215,10.82378912,19.312128,Driving
72,59.879401,10.82357323,19.5857166028,Driving
73,59.87933897,10.8233566,20.1168,Driving
74,59.87929963,10.82315748,18.4108946847,Driving
75,59.87924759,10.82297584,18.0407463013,Driving
76,59.8792152,10.82277925,17.6866901916,Driving
77,59.8791753,10.8225815,18.1533998903,Driving
78,59.87914299,10.82239682,17.8959050959,Driving
79,59.87910884,10.82221035,17.863719014,Driving
80,59.87911415,10.82197759,19.2638481097,Driving
81,59.87910414,10.82174495,19.4891552875,Driving
82,59.87910138,10.82154939,19.5857166028,Driving
83,59.87908152,10.82135126,18.8776043832,Driving
84,59.87908029,10.82110693,19.151192986,Driving
85,59.87905478,10.8208886,18.4269884931,Driving
86,59.87904998,10.82066751,18.5879235069,Driving
87,59.87903448,10.82045944,17.702784,Driving
88,59.87899362,10.8202586,18.2499612056,Driving
89,59.87895813,10.82007786,18.1212138084,Driving
90,59.87892084,10.81988133,18.7971384112,Driving
91,59.87887194,10.81968724,19.4086893153,Driving
92,59.87883785,10.81956722,17.300448,Driving
93,59.87877781,10.81935329,19.1029130959,Driving
94,59.8787122,10.81914996,19.3765016987,Driving
95,59.87859073,10.81911182,18.668391014,Driving
96,59.8784798,10.81909988,18.507456,Driving
97,59.87837513,10.81904285,19.2638481097,Driving
98,59.87827105,10.81900112,19.151192986,Driving
99,59.87815984,10.81895928,19.2960341916,Driving
100,59.87805307,10.8189863,18.8615121097,Driving
101,59.877942,10.81901404,19.2316604931,Driving
102,59.87783695,10.81907068,19.6983701916,Driving
103,59.87772851,10.81909062,19.553528986,Driving
104,59.87762495,10.81906138,19.6179026847,Driving
105,59.87750781,10.81910785,19.9719587944,Driving
106,59.87740038,10.81907996,19.4891552875,Driving
107,59.8772866,10.81903587,19.4408753972,Driving
108,59.87717443,10.81903293,19.0385393972,Driving
109,59.8770644,10.81900329,19.1029130959,Driving
110,59.87687485,10.81888877,17.9119989041,Driving
111,59.87677283,10.81880068,18.7649507944,Driving
112,59.87667089,10.81871462,19.1833806028,Driving
113,59.876567,10.81859592,19.1029130959,Driving
114,59.87649282,10.81849811,18.0729323832,Driving
115,59.87642256,10.8184596,16.5762435069,Driving
116,59.87636491,10.81824986,17.139512986,Driving
117,59.87627918,10.81810753,17.3487278903,Driving
118,59.87620443,10.81794374,18.4430823013,Driving
119,59.87611843,10.81782007,17.4774752875,Driving
120,59.87601599,10.81769647,17.6384103013,Driving
121,59.87593078,10.81758223,17.7671576987,Driving
122,59.87582161,10.81751897,18.0246524931,Driving
123,59.87572409,10.81740863,18.4913621916,Driving
124,59.87567848,10.81719243,17.8798112875,Driving
125,59.87565156,10.81700021,17.5257567125,Driving
126,59.87558521,10.8168723,17.1877944112,Driving
127,59.87548202,10.81678258,16.6728032875,Driving
128,59.87536582,10.81676215,15.7232916167,Driving
129,59.87529005,10.81668372,14.7898706847,Driving
130,59.87527494,10.81656641,12.5367896986,Driving
131,59.87521289,10.81652053,11.2975948493,Driving
132,59.87519893,10.81641914,9.54340964374,Walking
133,59.87513134,10.8163904,6.03504,Walking
134,59.87516168,10.81625802,3.78195824652,Walking
135,59.87519564,10.81622721,1.46450308221,Stationary
136,59.87523114,10.81620765,0.0,Stationary
137,59.87522518,10.81613702,12.1183606577,Driving
138,59.87503409,10.81589453,17.944184986,Driving
139,59.87498487,10.81546621,21.9997326028,Driving
140,59.87500676,10.81491046,27.2622882196,Driving
141,59.87486358,10.81457802,29.5475568223,Driving
142,59.87476261,10.81435916,28.4210147944,Driving
143,59.87472543,10.8142376,22.8687783013,Driving
144,59.87466316,10.81419358,18.8615121097,Driving
145,59.87453041,10.81411324,19.2316604931,Driving
146,59.87444854,10.81395772,19.2638481097,Driving
147,59.87437864,10.81384449,18.8293244931,Driving
148,59.87432067,10.81374318,18.266055014,Driving
149,59.87427866,10.81360347,17.6545041097,Driving
150,59.87418866,10.81352185,17.5257567125,Driving
151,59.87409447,10.8134437,17.3165418084,Driving
152,59.87402104,10.81332485,17.1234207125,Driving
153,59.87393396,10.81323201,17.300448,Driving
154,59.87392825,10.81307866,15.3370478903,Driving
155,59.87397775,10.81283946,14.6289372056,Driving
156,59.8739961,10.81257176,15.288768,Driving
157,59.87401148,10.81241081,14.4197223014,Driving
158,59.87398474,10.81235036,11.6999308493,Driving
159,59.87397962,10.81227398,8.1110936986,Walking
160,59.87395213,10.81216024,7.43516909583,Walking
161,59.87392631,10.81205623,6.42128257535,Walking
162,59.87388751,10.81200605,4.90849912327,Walking
163,59.87384216,10.81200059,4.63491090417,Walking
164,59.87380427,10.81200455,4.57053682187,Walking
165,59.87377789,10.81206466,4.18429424652,Walking
166,59.87374492,10.8121205,6.00285315069,Walking
167,59.87367855,10.81218016,7.95015945209,Walking
168,59.87362737,10.81218758,8.36858849305,Walking
169,59.87357971,10.81220993,7.41907605486,Walking
170,59.87353993,10.81223539,7.27423484931,Walking
171,59.87350593,10.81227361,7.12939364374,Walking
172,59.87347333,10.81223986,6.5017496986,Walking
173,59.87347328,10.81215991,2.91291254791,Walking
174,59.87339662,10.81214718,4.3613223014,Walking
175,59.87345758,10.81212664,0.0,Stationary
176,59.87349172,10.81216554,0.0,Stationary
177,59.87347651,10.81223086,0.0,Stationary
178,59.87343535,10.81226428,5.32692854791,Walking
179,59.87338488,10.81230412,5.74535797256,Walking
180,59.87330707,10.8123564,5.98675972604,Walking
181,59.87326948,10.8123854,5.42348909583,Walking
182,59.87320128,10.81244019,5.53614345209,Walking
183,59.87314539,10.81247618,5.02115309583,Walking
184,59.87307007,10.81250222,5.89019917813,Walking
185,59.87298521,10.81259555,9.06060690417,Walking
186,59.87292437,10.81262702,9.9940263014,Walking
187,59.8728427,10.81270492,11.9413326028,Driving
188,59.87277155,10.81270015,12.6494440549,Driving
189,59.87269309,10.81274894,13.3414616986,Driving
190,59.87261528,10.81279241,13.9530126028,Driving
191,59.87253656,10.81282688,14.6933109042,Driving
192,59.87245561,10.81287806,15.5784504111,Driving
193,59.87236139,10.81292191,16.3187487125,Driving
194,59.87225688,10.81302837,16.6728032875,Driving
195,59.87218029,10.81310196,15.7876653153,Driving
196,59.87208486,10.81321669,17.7671576987,Driving
197,59.87198751,10.81329758,18.0407463013,Driving
198,59.87191023,10.81334778,17.8476252056,Driving
199,59.87177011,10.8134296,19.070727014,Driving
200,59.87167164,10.81350975,19.1351007125,Driving
201,59.87161329,10.81350016,18.748856986,Driving
202,59.87151361,10.81358236,18.7005770959,Driving
203,59.87143923,10.81362046,17.5901304112,Driving
204,59.87134367,10.81365256,17.8154375888,Driving
205,59.87124559,10.81371661,18.6362033972,Driving
206,59.87111671,10.8138139,19.8593052056,Driving
207,59.87101327,10.81388181,18.8615121097,Driving
208,59.87090865,10.81394789,18.8132306847,Driving
209,59.87081958,10.81399188,19.0385393972,Driving
210,59.87072025,10.81406499,18.6040173153,Driving
211,59.87062586,10.81413503,17.8315313972,Driving
212,59.87052445,10.81418732,16.5440558903,Driving
213,59.87044341,10.81424952,15.5301689861,Driving
214,59.8703706,10.81423819,13.6955178083,Driving
215,59.87031419,10.81423449,12.6816309042,Driving
216,59.87025154,10.81427397,12.9713133153,Driving
217,59.87018059,10.81430535,12.4402291507,Driving
218,59.87012407,10.81430394,11.9735194521,Driving
219,59.87007081,10.81427602,11.7643045479,Driving
220,59.86998974,10.8141961,13.5023967125,Driving
221,59.86990259,10.8141361,14.3875346847,Driving
222,59.86983553,10.8140395,15.6750101917,Driving
223,59.86976975,10.81397343,16.5762435069,Driving
224,59.86965964,10.81390113,17.5257567125,Driving
225,59.86956954,10.81380613,18.1212138084,Driving
226,59.86949623,10.81372924,17.300448,Driving
227,59.86941671,10.8136595,16.9463918903,Driving
228,59.8693139,10.81357681,16.7854584112,Driving
229,59.86923655,10.8135181,16.8337383013,Driving
230,59.86914757,10.81343943,16.4314023013,Driving
231,59.86905011,10.81340984,16.1095338084,Driving
232,59.86893439,10.81337626,16.8015506847,Driving
233,59.86885778,10.81335742,14.9025258083,Driving
234,59.86878374,10.81333845,13.8886389042,Driving
235,59.86873383,10.81330878,12.8908458083,Driving
236,59.86866401,10.81331286,12.7620976437,Driving
237,59.86859774,10.81334533,11.5068097535,Driving
238,59.86855614,10.81329642,9.39856920557,Walking
239,59.86849306,10.81333099,8.48124284931,Walking
240,59.8684439,10.8133095,8.449056,Train
241,59.8684516,10.81323407,2.89681912327,Train
242,59.86839766,10.81325063,7.11330060278,Train
243,59.86834383,10.81329972,8.28812175348,Train
244,59.86830132,10.81333686,7.83750509583,Train
245,59.86822178,10.81337495,10.0101193423,Train
246,59.86815871,10.81343096,9.68825084931,Train
247,59.86810339,10.81344506,8.98013939722,Train
248,59.8680413,10.81343632,8.449056,Train
249,59.8679733,10.81347103,8.62608405486,Train
250,59.86793791,10.81349997,7.9823463014,Train
251,59.86789849,10.81353949,7.46735594514,Train
252,59.86786328,10.81357173,7.40298224652,Train
253,59.86779489,10.81361018,9.23763419165,Train
254,59.86771976,10.81363517,10.2515210958,Train
255,59.86762781,10.81362065,12.6977239451,Driving
256,59.86752542,10.81363801,11.9091457535,Driving
257,59.86745914,10.81362027,12.5689765479,Driving
258,59.86739068,10.81364093,12.9069396167,Driving
259,59.86730863,10.81366764,13.4863029042,Driving
260,59.86720568,10.81367713,14.1944135889,Driving
261,59.86714536,10.81371472,13.4541152875,Driving
262,59.867084,10.81372624,11.8769589042,Driving
263,59.86700339,10.81372215,11.9252387944,Driving
264,59.86690894,10.81379145,13.0839669042,Driving
265,59.86685275,10.81383844,12.8103783014,Driving
266,59.86676646,10.81387603,14.2748810958,Driving
267,59.86670492,10.8138676,14.3231609861,Driving
268,59.86664955,10.81390171,14.0173863014,Driving
269,59.86655908,10.8139522,14.5323758903,Driving
270,59.86648661,10.81399935,15.208300493,Driving
271,59.86640185,10.81405345,15.0151793972,Driving
272,59.86631025,10.81412556,17.0268593972,Driving
273,59.86622914,10.81418211,15.8198513972,Driving
274,59.86613147,10.81423142,16.6245233972,Driving
275,59.86603387,10.81431389,17.4131015888,Driving
276,59.86593901,10.81437185,17.2521681097,Driving
277,59.86583352,10.8144463,18.4108946847,Driving
278,59.86573923,10.81451172,17.6223164931,Driving
279,59.86564351,10.81455778,15.9003189042,Driving
280,59.86556674,10.81459832,14.5323758903,Driving
281,59.86550446,10.81464143,14.3070687125,Driving
282,59.86542473,10.81466645,14.3231609861,Driving
283,59.86537316,10.81467833,12.9230318903,Driving
284,59.86528254,10.81469798,13.357555507,Driving
285,59.86513444,10.8146832,11.0079132056,Driving
286,59.86509463,10.81472624,5.13380745209,Walking
287,59.86505895,10.81474778,3.36352882187,Walking
288,59.86508526,10.81479893,0.531083541103,Stationary
289,59.86513253,10.81475815,0.0,Stationary
290,59.86503932,10.81488508,7.86969194514,Walking
291,59.86496185,10.81493494,9.33419550695,Walking
292,59.86489394,10.81497043,9.656064,Walking
293,59.86479809,10.81505018,13.7437976986,Driving
294,59.86469561,10.81511707,15.288768,Driving
295,59.86461284,10.81518708,16.3831224112,Driving
296,59.86451588,10.81523046,16.5440558903,Driving
297,59.86445113,10.81527572,15.3048618083,Driving
298,59.86432895,10.81535257,14.5484696986,Driving
299,59.86427142,10.81537855,13.8886389042,Driving
300,59.86418723,10.81542256,13.7759853153,Driving
301,59.8640918,10.81544737,14.3875346847,Driving
302,59.86400872,10.81550418,13.5345827944,Driving
303,59.86394549,10.8155748,12.9230318903,Driving
304,59.86387742,10.81561134,12.8264713423,Driving
305,59.86379608,10.81558713,13.7920775889,Driving
306,59.8637191,10.81556472,14.6611232875,Driving
307,59.86362757,10.81553893,15.7232916167,Driving
308,59.86354116,10.81547111,16.1578136987,Driving
309,59.86344136,10.81540306,16.8337383013,Driving
310,59.86335914,10.8153762,16.495776,Driving
311,59.86325443,10.81529302,16.7532707944,Driving
312,59.86311655,10.81524885,18.4430823013,Driving
313,59.86300344,10.8152131,19.0063533153,Driving
314,59.86290719,10.81522777,16.6084295888,Driving
315,59.86279205,10.81523183,17.8315313972,Driving
316,59.86270936,10.81521733,15.1600206028,Driving
317,59.86260541,10.81524412,16.0290663014,Driving
318,59.86253755,10.81528599,16.6728032875,Driving
319,59.86241433,10.81535999,17.3165418084,Driving
320,59.8623149,10.81541796,16.8820181916,Driving
321,59.86223883,10.81543265,16.3831224112,Driving
322,59.8621697,10.81546181,14.484096,Driving
323,59.86211877,10.81554772,12.8586581917,Driving
324,59.86204258,10.81555749,11.748211507,Driving
325,59.86196905,10.81560341,11.7160246577,Driving
326,59.86190708,10.81560586,12.1022668493,Driving
327,59.86182687,10.81561821,13.679424,Driving
328,59.86173575,10.81556234,15.3853293153,Driving
329,59.86165016,10.81553691,16.3026549041,Driving
330,59.86154472,10.81546901,17.1877944112,Driving
331,59.86143932,10.8153953,17.8959050959,Driving
332,59.8613385,10.81533531,18.8132306847,Driving
333,59.86124366,10.81524221,18.9741656987,Driving
334,59.86115481,10.81515884,18.6362033972,Driving
335,59.86104394,10.81511219,18.7166709041,Driving
336,59.86096504,10.81506515,17.7993453153,Driving
337,59.86090872,10.81492412,16.3187487125,Driving
338,59.86078673,10.81484822,17.9924664112,Driving
339,59.86072637,10.81474346,17.2521681097,Driving
340,59.86068463,10.81456498,17.2199804931,Driving
341,59.86062715,10.81440534,16.5762435069,Driving
342,59.86058601,10.81425485,16.0290663014,Driving
343,59.86055959,10.81406233,16.5601496987,Driving
344,59.86052406,10.81390608,15.9325049861,Driving
345,59.86049766,10.81375007,16.254375014,Driving
346,59.86047363,10.81355413,16.8176444931,Driving
347,59.86044121,10.81339121,16.4153084931,Driving
348,59.86045125,10.81322262,15.6589163833,Driving
349,59.86043684,10.8130786,14.2748810958,Driving
350,59.8604234,10.81293693,13.6472363833,Driving
351,59.86043129,10.81280847,12.8586581917,Driving
352,59.86043958,10.81263104,13.598956493,Driving
353,59.86041355,10.81248855,13.3253678903,Driving
354,59.8604327,10.81235477,13.8403590139,Driving
355,59.86039385,10.81223395,15.0312732056,Driving
356,59.86039211,10.81202573,15.4979829042,Driving
357,59.86038659,10.81181947,16.5601496987,Driving
358,59.86038555,10.81162844,16.9302996168,Driving
359,59.86038401,10.81143146,16.9785795069,Driving
360,59.86037991,10.81119639,17.3326356168,Driving
361,59.86038246,10.81103208,16.5762435069,Driving
362,59.86037054,10.81084196,16.6888970959,Driving
363,59.86036349,10.81068828,14.403628493,Driving
364,59.86034749,10.81059933,10.8791658083,Driving
365,59.86034506,10.81049921,10.6055772056,Driving
366,59.86033943,10.81039162,9.38247539722,Walking
367,59.8603195,10.81031521,9.54340964374,Walking
368,59.86030946,10.81019426,10.782604493,Driving
369,59.86032167,10.81005296,11.1366606028,Driving
370,59.86032902,10.80991794,12.6494440549,Driving
371,59.86032313,10.80975274,13.1322467944,Driving
372,59.86030654,10.80963565,13.6311441097,Driving
373,59.86029899,10.80948595,13.8725450958,Driving
374,59.86030187,10.80931158,14.6450310139,Driving
375,59.86032265,10.80910971,15.6589163833,Driving
376,59.86033039,10.80894203,16.1739075069,Driving
377,59.86033406,10.80878811,15.5784504111,Driving
378,59.8603502,10.80859184,15.8198513972,Driving
379,59.86036706,10.80841145,16.3992146847,Driving
380,59.86037317,10.80822865,16.6084295888,Driving
381,59.86039036,10.80803069,17.5579427944,Driving
382,59.86040205,10.8078145,17.8798112875,Driving
383,59.86043093,10.80762512,16.898112,Driving
384,59.86044159,10.80743937,17.2199804931,Driving
385,59.86046974,10.807226,17.6223164931,Driving
386,59.86046937,10.80706586,16.7532707944,Driving
387,59.86048598,10.80688528,16.6888970959,Driving
388,59.86050593,10.80669864,17.1073269041,Driving
389,59.86051237,10.80653822,17.0912330959,Driving
390,59.86053712,10.80634485,17.1717006028,Driving
391,59.86057304,10.80616429,17.5096629041,Driving
392,59.86058236,10.80598931,16.8015506847,Driving
393,59.86060302,10.80582087,16.6406172056,Driving
394,59.86060014,10.80560328,17.139512986,Driving
395,59.86061576,10.80543226,16.7693646028,Driving
396,59.8606289,10.80524259,17.3648216987,Driving
397,59.86064614,10.80498836,18.4913621916,Driving
398,59.86065949,10.80480217,17.7188778084,Driving
399,59.86067437,10.80461283,17.863719014,Driving
400,59.86068417,10.80444283,17.8315313972,Driving
401,59.86072059,10.8042698,16.8498321097,Driving
402,59.86072797,10.80409997,16.1900013153,Driving
403,59.86074794,10.80387649,15.7071978083,Driving
404,59.86075868,10.80370577,15.1439267944,Driving
405,59.86076882,10.80359453,15.4497030139,Driving
406,59.86079799,10.80338719,15.1922066847,Driving
407,59.86080242,10.80327022,13.1161529861,Driving
408,59.86083472,10.80312436,13.7437976986,Driving
409,59.86085736,10.80296311,14.5967495889,Driving
410,59.86086399,10.8028187,14.6611232875,Driving
411,59.86087087,10.80269345,13.2127143014,Driving
412,59.8608831,10.80252663,14.3070687125,Driving
413,59.86089367,10.80244218,12.3597616437,Driving
414,59.86090531,10.80236844,12.0057063014,Driving
415,59.86091394,10.80225569,12.0217993423,Driving
416,59.8609087,10.80216572,10.6699509042,Driving
417,59.86091364,10.80207891,9.84918509583,Walking
418,59.86093032,10.80200145,9.06060690417,Walking
419,59.86094482,10.80188765,8.12718750695,Walking
420,59.86096194,10.8017913,6.79143134234,Walking
421,59.86094202,10.8016877,4.03945342465,Walking
422,59.86094248,10.80159746,8.59389720557,Walking
423,59.86094167,10.80144895,9.14107364374,Walking
424,59.86091519,10.80128104,8.75483145209,Walking
425,59.86088209,10.8011535,8.7870183014,Walking
426,59.86088544,10.80105801,7.37079539722,Walking
427,59.86087637,10.80097161,6.11550712327,Walking
428,59.86087474,10.80086091,4.73147145209,Walking
429,59.8608105,10.80083702,5.60051715069,Walking
430,59.8607579,10.80083419,7.03283309583,Walking
431,59.86066403,10.80088005,8.80311134234,Walking
432,59.8605975,10.80090868,11.3941553972,Driving
433,59.8605193,10.80096378,12.8908458083,Driving
434,59.86045032,10.80103576,13.4380230139,Driving
435,59.86036787,10.80113417,14.6772170958,Driving
436,59.86029837,10.8012148,14.7737784111,Driving
437,59.86022228,10.80127533,14.2105073972,Driving
438,59.86014072,10.80132799,14.0173863014,Driving
439,59.86006393,10.80136982,12.9069396167,Driving
440,59.86002997,10.80140082,10.5572965479,Driving
441,59.85998937,10.80141868,8.98013939722,Walking
442,59.85995186,10.80142733,6.82361819165,Walking
443,59.85990704,10.80146071,3.89461260278,Walking
444,59.859868,10.80143673,2.10824054791,Walking
445,59.85981725,10.80143849,3.9589863014,Walking
446,59.85977606,10.80147313,5.9706663014,Walking
447,59.85970364,10.80148864,9.12498060278,Walking
448,59.85964474,10.80152859,9.75262454791,Walking
449,59.8595809,10.80152075,12.0378931507,Driving
450,59.85949226,10.80150045,12.6494440549,Driving
451,59.85942438,10.80151427,12.7138177535,Driving
452,59.85932606,10.80153723,13.679424,Driving
453,59.85923534,10.80157453,13.277088,Driving
454,59.85915942,10.80160091,13.0678730958,Driving
455,59.85908511,10.80161601,13.0034993972,Driving
456,59.85901651,10.80161323,14.08176,Driving
457,59.85892188,10.80159359,14.6450310139,Driving
458,59.8588465,10.80159005,14.2105073972,Driving
459,59.85876137,10.80159232,14.3875346847,Driving
460,59.85868466,10.80160765,13.4058353972,Driving
461,59.85861501,10.80159348,11.9091457535,Driving
462,59.85855699,10.80161146,11.0883799451,Driving
463,59.8584932,10.80160848,10.6860439451,Driving
464,59.85844438,10.80160442,8.83529819165,Walking
465,59.85839618,10.8016003,8.57780339722,Walking
466,59.85834734,10.80160346,8.9157656986,Walking
467,59.85829389,10.80157274,9.07669994514,Walking
468,59.85824326,10.80157086,8.77092449305,Walking
